pcode;poverty_incidence;flood_phys_exp;cyclone_phys_exp;earthquake7_phys_exp;tsunami_phys_exp;drought_phys_exp;good_governance_index;income_class;perc_wall_partly_concrete;perc_roof_concrete_alu_iron;pantawid_perc;nr_health_facilities;health_density;population;land_area;pop_density;traveltime;hdi;pcode_level2;risk_score;hazard_score;vulnerability_score;coping_capacity_score;pov_score;inc_score;hdi_score;wall_score;roof_score;pantawid_score;flood_score;cyclone_score;earthquake_score;tsunami_score;drought_score;travel_score;hospitals_score;governance_score;name
PH030800000;0.063;0.009;0.15;0.002;0.039;0.169;239;2;0.853;0.922;0.023;230;3.02372970485769;760650;1368.7;549;80.4;0.729;PH030800000;3.89866055551913;5.28940022184083;1.28504757584251;4.43865519341925;0.7068271180401999;1.9119411030040097;1.808;1.1485880674600848;0.8936457675474693;0.8195099539589472;2.6771972021490473;7.428260166424056;1.3997020642493194;5.248682036670775;6.605176231312103;5.873226245795955;3.570626668192268;2.8227136087979723;Bataan
PH056200000;0.327;0;0.358;0;0;0.211;83.7;2.7;0.581;0.509;0.077;221;2.84889634271321;775739;2054.6;378.2;111.6;0.505;PH056200000;4.65386547088571;4.17784493909529;4.38137085932646;5.29569182934682;3.8364641203248597;3.342902703099883;5.392;3.966453499846819;5.70815501519126;2.7095066768590983;0;8.260891178279856;0;0;6.96997981084565;6.39076071341697;3.731986516082513;4.45784870861083;Sorsogon
PH137600000;0.015;0.012;0.176;0;0.003;0.183;6.1;1;0.855;0.986;0.013;197;0.596438685800339;3302938;200.3;15391.9;6.9;0.829;PH137600000;3.64121553714775;4.89788085943499;0.353450763901617;4.81638490180266;0.14314866691340652;0;0.208;1.1185222383797713;0.14739079749319256;0.4584450460106371;4.786707447324794;7.668308055264569;0;1.190613133340066;6.828995969879395;2.2603631087891967;6.63666705675747;0.04957959244037756;Fourth District (Manila)
PH012900000;0.173;0.002;0.317;0.002;0.003;0.18;148.5;3.2;0.81;0.96;0.04;283;3.33493797015376;689668;2635.2;261.6;210.3;0.64;PH012900000;4.38825538881447;4.77745127219329;2.37171759290803;5.5595140698021;2.010538901609566;4.445620211464067;3.232;1.5953549230720276;0.4556813363178313;1.4121691702731511;1.7496872295719663;8.118776058234268;1.3448907526664564;1.3631638860866877;6.795424100808785;7.626381723415546;2.991745138771826;3.4878401442506526;Ilocos Sur
PH013300000;0.112;0.001;0.291;0.021;0.002;0.253;134.7;2.3;0.748;0.976;0.039;263;3.27971799510076;786653;1534.7;509.7;62.1;0.687;PH013300000;4.22716362159179;5.62743912407475;1.82892509528421;4.60247343879592;1.2855292985470606;2.6677887200582724;2.48;2.2299512464044984;0.26223285628685583;1.383584477885027;2.090724731862289;8.119020268724434;5.613947892893335;1.7374174954930028;7.0708265271784585;5.680343865089657;3.423788625659688;3.802540231558574;La Union
PH141100000;0.051;0.001;0.344;0.036;0;0.268;127.6;1.6;0.675;0.988;0.019;197;2.48866205990475;791590;2769.1;286.4;45.4;0.842;PH141100000;3.90261937973013;5.42875567768025;1.06735002271663;4.46562141170889;0.5683947468173374;1.2414886494271025;0;2.99305511035068;0.12845155476927922;0.6612487809790564;0.5475934014463849;8.096573748651887;6.919052802805634;0;6.974853843452961;4.1188334043678925;4.686162513105198;2.0332765149228758;Benguet
PH137400000;0.016;0.013;0.232;0;0;0.349;null;1;0.884;0.992;0.015;292;0.650303660630572;4490210;227.2;19760.2;4.2;0.829;PH137400000;3.65888597780147;5.22837169560188;0.300446970860248;4.5789060488709;0.1487576845188867;0;0.208;0.8192378599631267;0.08387329237570706;0.5174634151650926;6.005787387722402;7.989866297726953;0;0;7.368614235948433;1.7638557980953458;6.538001524296465;null;Second District (Manila)
PH015500000;0.123;0.02;0.27;0.02;0.004;0.244;114.2;2;0.727;0.911;0.042;720;2.43512587909735;2956726;5432.9;542.1;46.6;0.58;PH015500000;4.47569026028945;6.15457538338254;2.19779180515954;4.43978632966808;1.4206438564882018;1.9216146507995668;4.192;2.454551478438034;1.0284482950861538;1.4910670060421705;5.887494934268191;8.070383607968562;5.366525254431402;1.2770152931843355;7.0751253527965625;4.579136687312122;3.982294627150175;3.880074806289404;Pangasinan
PH012800000;0.125;0.002;0.288;0.033;0;0.365;149.7;3.2;0.863;0.947;0.032;166;2.5291654934149;593081;3570.2;167.2;59.5;0.731;PH012800000;4.23814592916215;5.92467197669251;1.91295615466152;4.22947495285233;1.4443361952744833;4.471321792470168;1.776;1.0442131219478665;0.6092732585950176;1.1433251131100992;2.2608187883903006;8.0972100848232;7.239255257434698;0.859571173555641;7.330730799368345;4.807195202988067;3.623671985051475;2.7070052454982467;Ilocos Norte
PH035400000;0.041;0.062;0.181;0.012;0.005;0.715;94.3;1.3;0.902;0.962;0.02;542;2.07931393382027;2606629;2254.6;1157.2;18.7;0.727;PH035400000;4.07556283059106;6.09840375907725;0.851411453738768;4.27342001065161;0.4551081199774264;0.7562702632403767;1.84;0.6325334568038075;0.42576750131361485;0.6907583740759252;7.129615857230103;7.635191145808354;3.8680401656761654;0.9318604361495784;7.169734685443565;3.575331177279491;4.330102919073544;3.670277704122503;Pampanga
